SecondLargestPropertyUseTypeGFA,SecondLargestPropertyUseType,GHGEmissionsIntensity(kgCO2e/ft2),OtherFuelUse(kBtu),GHGEmissions(MetricTonsCO2e),SPD Beats,Seattle Police Department Micro Community Policing Plan Areas,GHGEmissionsIntensity,TotalGHGEmissions,City,State,ENERGYSTARScore,LargestPropertyUseType,LargestPropertyUseTypeGFA,ListOfAllPropertyUseTypes,SourceEUI(kBtu/sf),SteamUse(kBtu),Electricity(kWh),NaturalGas(therms),NaturalGas(kBtu),Electricity(kBtu),SourceEUIWN(kBtu/sf),SiteEUI(kBtu/sf),SiteEUIWN(kBtu/sf),SiteEnergyUseWN(kBtu),SiteEnergyUse(kBtu),NumberofFloors,NumberofBuildings,DefaultData,OSEBuildingID,PrimaryPropertyType,PropertyGFABuilding(s),Neighborhood,CouncilDistrictCode,ComplianceStatus,PropertyGFAParking,YearBuilt,PropertyGFATotal,BuildingType,DataYear,zip_codes,Longitude,Latitude,parcelTax_number
28074.10015345275,50.0,0.06,0.0,9.68,31.0,14.0,1.175916245916246,120.07988409011996,1.0,1.0,67.9063420380915,1.0,67224.0,4.0,64.9,0.0,407010.0,0.0,0.0,1388775.0,64.9,20.7,20.7,1388717.0,1388717.0,2.0,1.0,0.0,31.0,15.0,67224.0,6.0,7.0,0.0,0.0,1930.0,67224.0,4.0,2015.0,18081.0,-122.33040102,47.61490582,660001725.0
42000.0,34.0,1.56,0.0,249.43,12.0,19.0,1.175916245916246,120.07988409011996,1.0,1.0,67.9063420380915,13.0,112676.0,176.0,55.7,0.0,156133.0,46266.0,4626617.0,532747.0,58.1,44.0,46.3,5421759.0,5159342.0,8.0,1.0,0.0,32.0,5.0,128375.0,8.0,7.0,0.0,30301.0,1991.0,158676.0,4.0,2015.0,18081.0,-122.32923126,47.61300278,660001832.0
28074.10015345275,50.0,1.72,0.0,319.73,10.0,56.0,1.175916245916246,120.07988409011996,1.0,1.0,20.0,13.0,128909.0,164.0,183.3,0.0,1689143.0,52636.0,5263590.0,5763595.0,180.9,85.5,86.7,11178456.0,11026945.0,10.0,1.0,1.0,33.0,5.0,133585.0,6.0,7.0,0.0,38281.0,2001.0,171866.0,4.0,2015.0,18081.0,-122.33005445,47.61806905,660002680.0
28074.10015345275,50.0,1.87,0.0,244.51,6.0,35.0,1.175916245916246,120.07988409011996,1.0,1.0,57.0,14.0,126351.0,181.0,84.2,0.0,566538.0,43502.0,4350200.0,1933106.0,102.4,49.7,64.4,8131874.0,6283226.0,1.0,1.0,0.0,34.0,6.0,126351.0,2.0,3.0,0.0,0.0,1955.0,126351.0,7.0,2015.0,18789.0,-122.3053887,47.62309371,688000090.0
28074.10015345275,50.0,1.69,0.0,125.57,7.0,56.0,1.175916245916246,120.07988409011996,1.0,1.0,60.0,13.0,47994.0,164.0,194.1,0.0,667101.0,20656.0,2065556.0,2276244.0,194.1,90.5,90.5,4341706.0,4341706.0,5.0,1.0,0.0,35.0,5.0,52210.0,6.0,7.0,0.0,16200.0,1978.0,68410.0,4.0,2015.0,19576.0,-122.34197968,47.61587049,697000170.0
28074.10015345275,50.0,1.58,0.0,260.37,29.0,29.0,1.175916245916246,120.07988409011996,1.0,1.0,80.0,14.0,164229.0,181.0,62.6,0.0,501058.0,46781.0,4678100.0,1709681.0,77.2,38.9,50.9,8362498.0,6387710.0,2.0,1.0,1.0,36.0,6.0,160645.0,12.0,5.0,0.0,0.0,1949.0,160645.0,7.0,2015.0,19579.0,-122.29379175,47.71011498,752000170.0
28074.10015345275,50.0,0.08,0.0,10.27,39.0,50.0,1.175916245916246,120.07988409011996,1.0,1.0,94.0,14.0,55166.0,181.0,83.8,0.0,431579.0,0.0,0.0,1472609.0,95.8,26.7,30.5,1682521.0,1472548.0,2.0,1.0,1.0,37.0,6.0,51582.0,11.0,7.0,0.0,0.0,1989.0,51582.0,7.0,2015.0,18390.0,-122.35245717,47.63303191,809000005.0
18153.0,16.0,1.65,0.0,149.39,3.0,61.0,1.175916245916246,120.07988409011996,1.0,1.0,67.9063420380915,24.0,40943.0,184.0,104.1,0.0,396679.0,26353.0,2635261.0,1353524.0,112.3,59.2,66.3,4470231.0,3988729.0,3.0,1.0,0.0,38.0,26.0,87262.0,10.0,4.0,0.0,0.0,1906.0,87262.0,4.0,2015.0,18377.0,-122.33172174,47.66391557,825049008.0
28074.10015345275,50.0,2.8,0.0,243.37,48.0,53.0,1.175916245916246,120.07988409011996,1.0,1.0,20.0,13.0,81871.0,164.0,178.5,0.0,957249.0,41536.0,4153630.0,3266270.0,181.8,90.6,93.8,7677473.0,7419765.0,4.0,1.0,0.0,40.0,5.0,81871.0,13.0,4.0,0.0,0.0,1994.0,81871.0,4.0,2015.0,18383.0,-122.29889419,47.66585193,925049117.0
28074.10015345275,50.0,0.02,0.0,3.71,48.0,53.0,1.175916245916246,120.07988409011996,1.0,1.0,77.0,49.0,26225.0,480.0,34.0,0.0,79930.0,340.0,34000.0,272732.0,34.5,11.7,12.2,319916.0,306721.0,2.0,1.0,0.0,41.0,24.0,126394.0,13.0,4.0,0.0,0.0,1955.0,126394.0,4.0,2015.0,18383.0,-122.29612323,47.66270326,925049330.0
28074.10015345275,50.0,0.18,0.0,333.54,37.0,58.0,1.175916245916246,120.07988409011996,1.0,1.0,1.0,57.0,77079.36204268293,488.0,210.0,0.0,14022240.0,0.0,0.0,47845869.0,203.3,66.9,64.7,46313516.0,47843892.0,2.0,7.0,0.0,46.0,1.0,714095.0,9.0,2.0,0.0,0.0,1961.0,714095.0,4.0,2015.0,18800.0,-122.29027588,47.5106034,323049024.0
